datetime,tempm,tempi,dewptm,dewpti,hum,wspdm,wspdi,wgustm,wgusti,wdird,wdire,vism,visi,pressurem,pressurei,windchillm,windchilli,heatindexm,heatindexi,precipm,precipi,conds,fog,rain,snow,hail,thunder,tornado
20160114T0900,18,65,12,54,60,3.7,2.3,,,320,NW,0.5,0,1015,29.98,-999,-999,-9999,-9999,,,Smoke,0,0,0,0,0,0
20160114T0900,18.0,64.4,13.0,55.4,73,3.7,2.3,-9999.0,-9999.0,320,NW,0.8,0.5,1015,29.98,-999,-999,-9999,-9999,-9999.00,-9999.00,Smoke,0,0,0,0,0,0
20160114T1000,19.0,66.2,14.0,57.2,73,7.4,4.6,-9999.0,-9999.0,30,NNE,0.8,0.5,1014,29.95,-999,-999,-9999,-9999,-9999.00,-9999.00,Smoke,0,0,0,0,0,0
20160114T1100,18.0,64.4,13.0,55.4,73,5.6,3.5,-9999.0,-9999.0,360,North,0.8,0.5,1015,29.98,-999,-999,-9999,-9999,-9999.00,-9999.00,Fog,1,0,0,0,0,0
20160114T1200,17,62,13,56,74,5.6,3.5,,,320,NW,0.5,0,1015,29.97,-999,-999,-9999,-9999,,,Patches of Fog,1,0,0,0,0,0
20160114T1200,17.0,62.6,13.0,55.4,77,5.6,3.5,-9999.0,-9999.0,320,NW,0.8,0.5,1015,29.98,-999,-999,-9999,-9999,-9999.00,-9999.00,Fog,1,0,0,0,0,0
20160114T1300,16.0,60.8,13.0,55.4,82,1.9,1.2,-9999.0,-9999.0,10,North,1.0,0.6,1015,29.98,-999,-999,-9999,-9999,-9999.00,-9999.00,Mostly Cloudy,0,0,0,0,0,0
20160114T1500,14,58,13,55,86,0.0,0.0,,,,,1,1,1016,30.01,-999,-999,-9999,-9999,,,Mist,0,0,0,0,0,0
20160114T1800,12,54,12,53,96,0.0,0.0,,,,,0.5,0,1016,30.01,-999,-999,-9999,-9999,,,Patches of Fog,1,0,0,0,0,0
20160114T2100,11,51,10,50,97,0.0,0.0,,,,,0.2,0,1016,30.00,-999,-999,-9999,-9999,,,Partial Fog,1,0,0,0,0,0
20160115T0000,10,51,10,51,99,7.4,4.6,,,320,NW,0.2,0,1016,29.99,-999,-999,-9999,-9999,,,Heavy Fog,1,0,0,0,0,0
